Timestamp,edad,ahorita,en un rato,luego luego,al rato,ya voy,ya mero,ya casi,a la vuelta,en un ratito,en corto,espérame tantito,luego,uno de estos días,hay que ir por un café
7/19/2022 19:01:16,20 - 25,1 - 15 min,15 - 30 min,Inmediatamente (no más de 1 minuto),1 - 24 horas,1 - 15 min,30 min - 1 hora,15 - 30 min,Nunca (no pienso que se complete la acción),15 - 30 min,no uso esta palabra,1 - 15 min,1 - 24 horas,Nunca (no pienso que se complete la acción),Nunca (no pienso que se complete la acción)
7/19/2022 19:12:13,20 - 25,15 - 30 min,30 min - 1 hora,1 - 15 min,1 - 24 horas,Inmediatamente (no más de 1 minuto),15 - 30 min,1 - 15 min,Nunca (no pienso que se complete la acción),30 min - 1 hora,15 - 30 min,1 - 15 min,1 - 24 horas,1 - 7 días,Nunca (no pienso que se complete la acción)
7/19/2022 19:19:58,30 - 35,"1 - 15 min, 15 - 30 min, 30 min - 1 hora",1 - 24 horas,"Inmediatamente (no más de 1 minuto), 1 - 15 min",1 - 24 horas,"Inmediatamente (no más de 1 minuto), 1 - 15 min","1 - 15 min, 15 - 30 min, 30 min - 1 hora","1 - 15 min, 15 - 30 min",Nunca (no pienso que se complete la acción),"15 - 30 min, 30 min - 1 hora","1 - 15 min, 15 - 30 min","Inmediatamente (no más de 1 minuto), 1 - 15 min",1 - 24 horas,"1 - 7 días, más de una semana, Nunca (no pienso que se complete la acción)",más de una semana
7/19/2022 19:26:58,26 - 30,15 - 30 min,1 - 24 horas,1 - 15 min,30 min - 1 hora,Inmediatamente (no más de 1 minuto),30 min - 1 hora,1 - 15 min,15 - 30 min,30 min - 1 hora,1 - 24 horas,30 min - 1 hora,1 - 24 horas,más de una semana,1 - 7 días
7/19/2022 19:28:21,20 - 25,"Inmediatamente (no más de 1 minuto), 1 - 15 min, 15 - 30 min, 30 min - 1 hora","15 - 30 min, 1 - 24 horas",Inmediatamente (no más de 1 minuto),"30 min - 1 hora, 1 - 24 horas, Nunca (no pienso que se complete la acción)","Inmediatamente (no más de 1 minuto), 1 - 15 min, 15 - 30 min",1 - 15 min,"Inmediatamente (no más de 1 minuto), 1 - 15 min",no uso esta palabra,"1 - 15 min, 15 - 30 min","Inmediatamente (no más de 1 minuto), 1 - 15 min",1 - 15 min,"1 - 24 horas, 1 - 7 días","más de una semana, Nunca (no pienso que se complete la acción)","1 - 7 días, Nunca (no pienso que se complete la acción)"
7/19/2022 19:31:46,20 - 25,"15 - 30 min, 30 min - 1 hora","30 min - 1 hora, 1 - 24 horas","Inmediatamente (no más de 1 minuto), 1 - 15 min",1 - 24 horas,15 - 30 min,1 - 15 min,1 - 24 horas,1 - 7 días,"15 - 30 min, 30 min - 1 hora","Inmediatamente (no más de 1 minuto), 1 - 15 min","30 min - 1 hora, 1 - 24 horas",1 - 7 días,"1 - 7 días, más de una semana",más de una semana
7/19/2022 19:33:46,20 - 25,1 - 15 min,"15 - 30 min, 30 min - 1 hora",Inmediatamente (no más de 1 minuto),1 - 24 horas,Inmediatamente (no más de 1 minuto),1 - 15 min,1 - 15 min,Nunca (no pienso que se complete la acción),"1 - 15 min, 15 - 30 min",Inmediatamente (no más de 1 minuto),15 - 30 min,"más de una semana, Nunca (no pienso que se complete la acción)",Nunca (no pienso que se complete la acción),"1 - 7 días, más de una semana"
7/19/2022 19:35:07,26 - 30,15 - 30 min,1 - 24 horas,1 - 15 min,1 - 24 horas,1 - 15 min,15 - 30 min,1 - 15 min,no uso esta palabra,30 min - 1 hora,15 - 30 min,1 - 15 min,1 - 7 días,Nunca (no pienso que se complete la acción),Nunca (no pienso que se complete la acción)
7/19/2022 19:39:22,26 - 30,Inmediatamente (no más de 1 minuto),1 - 24 horas,1 - 15 min,1 - 24 horas,1 - 15 min,1 - 24 horas,1 - 24 horas,no uso esta palabra,30 min - 1 hora,1 - 15 min,1 - 15 min,"1 - 24 horas, 1 - 7 días","más de una semana, Nunca (no pienso que se complete la acción)",Nunca (no pienso que se complete la acción)
7/19/2022 19:41:15,20 - 25,"15 - 30 min, 30 min - 1 hora",1 - 24 horas,1 - 15 min,30 min - 1 hora,1 - 15 min,15 - 30 min,1 - 15 min,1 - 7 días,1 - 24 horas,1 - 15 min,1 - 15 min,1 - 7 días,más de una semana,"más de una semana, Nunca (no pienso que se complete la acción)"
7/19/2022 19:48:49,20 - 25,"15 - 30 min, Nunca (no pienso que se complete la acción)",30 min - 1 hora,Inmediatamente (no más de 1 minuto),"30 min - 1 hora, Nunca (no pienso que se complete la acción)","Inmediatamente (no más de 1 minuto), Nunca (no pienso que se complete la acción)",30 min - 1 hora,30 min - 1 hora,Nunca (no pienso que se complete la acción),no uso esta palabra,Inmediatamente (no más de 1 minuto),1 - 15 min,1 - 24 horas,"1 - 7 días, más de una semana","más de una semana, Nunca (no pienso que se complete la acción)"
